"","evangelical","attend","prayschool","literal","male","white","coldeg","repubid","age"
"489",0,8,0,1,0,1,0,3,60
"490",0,5,1,1,0,0,0,0,35
"491",0,5,0,0,0,1,1,0,55
"492",0,0,1,0,0,1,1,0,51
"493",0,4,0,0,0,1,1,3,25
"494",0,6,0,0,0,1,1,5,49
"495",0,0,0,0,1,1,0,1,38
"496",0,0,1,0,1,1,1,0,53
"497",0,0,0,0,0,1,1,1,52
"498",0,0,0,0,1,0,0,2,60
"499",0,7,0,1,1,0,0,3,28
"500",0,0,0,0,0,0,0,4,44
"501",1,7,0,0,0,0,0,3,42
"502",0,7,1,0,1,0,1,2,42
"503",0,0,0,0,1,0,0,1,20
"504",0,5,0,0,0,1,0,1,66
"505",0,7,1,1,0,0,0,2,42
"506",0,8,0,0,1,1,1,4,72
"507",0,8,0,0,0,1,0,3,43
"508",0,3,1,0,1,1,1,6,54
"509",0,2,0,0,0,1,1,0,57
"510",0,1,0,0,0,0,0,0,56
"511",0,2,0,0,1,0,0,0,34
"512",1,1,0,0,0,0,0,0,31
"513",0,7,0,0,0,0,0,3,25
"514",0,1,0,0,0,0,0,3,30
"515",0,3,1,1,1,0,0,1,24
"516",0,1,0,0,0,0,0,1,35
"517",0,0,0,0,1,0,0,1,32
"518",0,1,1,0,0,0,0,1,38
"519",0,0,1,1,0,1,0,1,46
"520",0,4,0,0,1,1,0,0,59
"521",1,4,0,1,0,1,0,1,26
"522",0,0,0,0,0,1,0,3,29
"523",0,0,0,0,1,1,0,1,25
"524",0,0,0,0,0,1,0,3,59
"525",0,0,0,0,0,1,0,3,29
"526",0,0,1,0,0,1,0,3,25
"527",0,2,0,0,1,1,0,1,68
"528",0,7,0,1,1,1,0,0,78
"529",0,2,1,1,1,0,1,1,32
"530",0,5,0,0,0,1,0,1,54
"531",0,7,1,1,0,1,1,0,40
"532",0,0,0,0,1,1,0,1,41
"533",0,0,0,0,0,0,0,3,37
"534",0,6,0,0,0,1,0,3,31
"535",0,0,1,0,0,0,0,3,36
"536",0,0,1,0,1,1,1,3,55
"537",0,2,0,0,0,0,1,4,31
"538",0,7,0,0,1,1,0,5,58
"539",0,5,0,0,0,1,1,1,38
"540",0,4,0,1,0,1,0,3,36
"541",0,2,0,0,0,1,0,1,53
"542",0,0,1,0,0,1,0,1,25
"543",0,0,0,0,0,1,0,3,29
"544",0,5,0,0,1,1,1,5,52
"545",0,0,1,0,0,1,0,1,45
"546",0,6,0,0,0,1,1,1,64
"547",0,7,1,0,1,1,1,6,42
"548",0,5,0,0,0,0,0,0,62
"549",1,3,0,1,0,1,0,3,44
"550",1,4,0,0,0,0,0,1,32
"551",0,1,0,0,0,0,0,1,21
